metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs
ndcg_at_5,full,no_memory,29,0.930139388124511,0.871449023252282,0.05869036487222898,0.007669240069598743,0.12378819054659429,0.06297905121445523,0.3622609791534491,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_memory,42,0.9285714285714286,0.6666666666666666,0.2619047619047619,0.14285714285714285,0.40476190476190477,0.0009765625,1.0,rank_biserial,scenario_binary_majority_vote,42.0,252.0,3.0,42.0,0.9365079365079365,0.6666666666666666,0.2698412698412698,"{'full_only': 11, 'other_only': 0, 'n_discordant': 11, 'p_value': 0.0009765625}",11.0
hcsr,full,no_memory,29,1.0,0.9471264367816092,0.05287356321839078,0.006896551724137926,0.11724137931034478,0.06559969214707187,0.3488081594972878,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_context,37,0.923312133896793,0.644448641935008,0.27886349196178506,0.20927841049654453,0.35170343925413744,1.7256857880058036e-06,1.2561295450913703,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_context,42,0.9285714285714286,0.11904761904761904,0.8095238095238095,0.6904761904761905,0.9285714285714286,1.1641532182693481e-10,1.0,rank_biserial,scenario_binary_majority_vote,42.0,252.0,3.0,42.0,0.9365079365079365,0.11904761904761904,0.8174603174603176,"{'full_only': 34, 'other_only': 0, 'n_discordant': 34, 'p_value': 1.1641532182693481e-10}",34.0
hcsr,full,no_context,37,1.0,0.6162162162162164,0.3837837837837837,0.3027027027027026,0.4648648648648647,9.279916091290494e-07,1.4771023314211036,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
