scope,variant,rank,feature,jobs,mean_total_score,mean_normalized_score,mean_weight,mean_contribution,contribution_share,top_driver_jobs,top_driver_share,inactive_jobs,dominant_explanation_code
variant,full,,experience_fit,501,0.730019481037926,0.8125748502994001,0.07822404191616743,0.06379292215568838,0.0873852326036409,0,0.0,45,experience_in_range
variant,full,,industry_preference,501,0.730019481037926,0.0,0.0,0.0,0.0,0,0.0,501,industry_not_specified
variant,full,,location_preference,501,0.730019481037926,0.7005988023952096,0.1063708642714569,0.07837182035928128,0.10735579309178696,0,0.0,150,location_match
variant,full,,preferred_skill_match,501,0.730019481037926,0.5076423153692623,0.11174874850299371,0.05653358283433123,0.07744119753345895,0,0.0,100,preferred_skill_coverage
variant,full,,required_skill_match,501,0.730019481037926,0.6081145708582836,0.27937108782435255,0.1712028143712578,0.2345181448142251,210,0.41916167664670656,49,required_skill_coverage
variant,full,,role_match,501,0.730019481037926,0.8862275449101796,0.27937108782435255,0.24679542714570957,0.3380669058239667,291,0.5808383233532934,0,role_exact
variant,full,,salary_preference,501,0.730019481037926,0.5994363273453097,0.07980506786427168,0.0643544451097807,0.08815442160294534,0,0.0,134,salary_meets_min
variant,full,,work_mode_preference,501,0.730019481037926,0.4600798403193613,0.06510979241516981,0.04896846906187624,0.0670783045299749,0,0.0,221,work_mode_not_specified
variant,no_context,,experience_fit,630,0.7362105761904765,0.843333333333332,0.07850901428571423,0.06636507142857165,0.09014414295971933,0,0.0,33,experience_in_range
variant,no_context,,industry_preference,630,0.7362105761904765,0.0,0.0,0.0,0.0,0,0.0,630,industry_not_specified
variant,no_context,,location_preference,630,0.7362105761904765,0.6523809523809524,0.10906370952380907,0.074170114285714,0.10074578752930642,0,0.0,219,location_match
variant,no_context,,preferred_skill_match,630,0.7362105761904765,0.5357066666666678,0.11215585238095185,0.059669942857142715,0.08105010276530526,0,0.0,105,preferred_skill_coverage
variant,no_context,,required_skill_match,630,0.7362105761904765,0.621426666666667,0.2803888523809534,0.1750178761904766,0.23772801131995014,258,0.4095238095238095,51,required_skill_coverage
