scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-03,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.701,1.0,1.0,28.0,-1.0
SC-A-03,no_context,complete,easy,none,medium,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,19.729,0.0,0.75,28.0,-1.0
SC-A-03,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.763,1.0,1.0,28.0,-1.0
SC-A-03,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.049,1.0,1.0,28.0,-1.0
SC-A-03,profile_only,complete,easy,none,medium,0.6843515475204854,0.6,1.8,0.6,0.4,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.301,0.0,0.75,20.0,-1.0
SC-A-04,full,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.095,1.0,1.0,24.0,-1.0
SC-A-04,no_context,complete,medium,none,medium,0.5147714448836774,0.6,1.8,0.6,0.4,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,25.648,0.0,0.75,23.0,-1.0
SC-A-04,no_memory,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.517,1.0,1.0,24.0,-1.0
SC-A-04,one_shot,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.023,1.0,1.0,24.0,-1.0
SC-A-04,profile_only,complete,medium,none,medium,0.5531464700081437,0.4,1.2,0.4,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.252,0.0,0.75,14.0,-1.0
SC-A-05,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.17,1.0,1.0,23.0,-1.0
SC-A-05,no_context,complete,easy,none,medium,0.6608397947263838,0.8,2.4,0.8,0.4,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,23.247,0.0,0.75,23.0,-1.0
SC-A-05,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.168,1.0,1.0,23.0,-1.0
SC-A-05,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.573,1.0,1.0,23.0,-1.0
SC-A-05,profile_only,complete,easy,none,medium,0.6608397947263838,0.8,2.4,0.8,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.865,0.0,0.75,19.0,-1.0
