variant,runs,retrieval_runs,mean_initial_pool_size,mean_pool_size,mean_retrieval_score,full_catalog_fallbacks,fallback_rate,median_retrieval_latency_ms,mean_retrieval_latency_ms,scored_runs,recall_at_pool,relevant_job_coverage,retrieval_errors,retrieval_error_rate,ranking_errors,ranking_error_rate
full,42,42,198.5952380952381,50.0,0.7101553390476191,0,0.0,5.465,5.928833333333333,38,0.5718840126546694,0.9736842105263158,1,0.023809523809523808,0,0.0
no_context,42,42,198.5952380952381,50.0,0.7101553390476191,0,0.0,5.050000000000001,5.840547619047619,38,0.5718840126546694,0.9736842105263158,1,0.023809523809523808,2,0.047619047619047616
no_memory,42,33,198.63636363636363,50.0,0.7123657448484849,0,0.0,5.698,5.878363636363636,29,0.5529512160148804,0.9655172413793104,1,0.030303030303030304,0,0.0
one_shot,42,26,198.92307692307693,50.0,0.6966628546153846,0,0.0,6.303,6.365692307692308,22,0.5354110981126665,0.9545454545454546,1,0.038461538461538464,0,0.0
profile_only,42,28,198.75,50.0,0.6939005357142857,0,0.0,5.978,6.273392857142857,24,0.5508425262111207,0.9583333333333334,1,0.03571428571428571,5,0.17857142857142858
