variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,0.538,1.0960999999999992,0.5780952380952381,42
full,filtering,1.7425000000000002,2.6632999999999987,1.8501428571428573,42
full,intent_extraction,0.31,0.5437500000000001,0.38309523809523816,42
full,memory_merge,0.4195,0.6628499999999998,0.44766666666666666,42
full,ranking,7.964,16.334049999999987,7.391023809523809,42
full,retrieval,5.465,9.008899999999999,5.928833333333334,42
full,total,17.066000000000003,26.868149999999993,17.355214285714286,42
no_context,explanation,0.575,1.10075,0.6828095238095239,42
no_context,filtering,0.492,0.9550499999999998,0.5983571428571428,42
no_context,intent_extraction,0.2975,0.5469499999999999,0.33276190476190476,42
no_context,memory_merge,0.287,0.45054999999999995,0.3161428571428571,42
no_context,ranking,13.6395,23.300699999999996,14.918738095238098,42
no_context,retrieval,5.050000000000001,7.9834,5.840547619047619,42
no_context,total,21.971,34.114549999999994,23.422714285714285,42
no_memory,explanation,0.51,1.0368,0.5356363636363637,33
no_memory,filtering,1.702,2.5454,1.728,33
no_memory,intent_extraction,0.325,0.44975,0.3182857142857143,42
no_memory,memory_merge,0.3735,0.6461499999999998,0.3928333333333333,42
no_memory,ranking,8.481,12.266599999999999,6.780969696969698,33
no_memory,retrieval,5.698,9.450599999999998,5.878363636363637,33
no_memory,total,15.8905,23.449549999999995,13.06347619047619,42
one_shot,explanation,0.5235000000000001,0.7595000000000001,0.45519230769230773,26
one_shot,filtering,1.7675,2.9305000000000003,2.002538461538461,26
one_shot,intent_extraction,0.3165,0.5939499999999999,0.34335714285714286,42
one_shot,memory_merge,0.373,0.5836499999999999,0.4061666666666667,42
one_shot,ranking,8.325,13.26175,6.301,26
one_shot,retrieval,6.303,10.0535,6.365692307692307,26
one_shot,total,10.4905,23.799699999999998,10.709595238095236,42
profile_only,explanation,0.4885,0.8916999999999998,0.5257857142857142,28
profile_only,filtering,1.2639999999999998,2.19025,1.450178571428571,28
profile_only,intent_extraction,0.3225,0.5689499999999996,0.32561904761904764,42
profile_only,memory_merge,0.2635,0.5579999999999998,0.30252380952380953,42
profile_only,ranking,11.0445,16.822699999999998,12.493571428571428,28
profile_only,retrieval,5.978,8.73565,6.2733928571428565,28
profile_only,total,18.5365,28.63034999999999,15.033190476190473,42
