variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,1.7875,2.31625,1.6325952380952382,42
full,filtering,1.8255,2.6788499999999997,1.8941428571428576,42
full,intent_extraction,0.3815,0.6465,0.4812142857142857,42
full,memory_merge,0.5045,0.9241999999999998,0.5528095238095239,42
full,ranking,7.383,15.444399999999987,7.241333333333334,42
full,retrieval,5.936,10.694249999999993,6.140976190476191,42
full,total,18.3305,29.658449999999988,18.605428571428572,42
no_context,explanation,1.8305,2.8501999999999974,1.9396666666666669,42
no_context,filtering,0.521,0.9619999999999999,0.5958095238095238,42
no_context,intent_extraction,0.3665,0.5551999999999999,0.3728333333333333,42
no_context,memory_merge,0.357,0.5874999999999998,0.3924523809523809,42
no_context,ranking,13.8765,18.275999999999996,14.428976190476192,42
no_context,retrieval,5.6754999999999995,8.274049999999999,6.361071428571429,42
no_context,total,24.640500000000003,28.43195,24.69252380952381,42
no_memory,explanation,1.606,2.0103999999999997,1.4043333333333334,33
no_memory,filtering,1.713,3.351999999999999,1.8276363636363637,33
no_memory,intent_extraction,0.3615,0.6353499999999993,0.3631190476190476,42
no_memory,memory_merge,0.425,0.63455,0.4323809523809523,42
no_memory,ranking,7.172,19.656799999999997,7.434787878787878,33
no_memory,retrieval,4.931,9.137199999999998,5.8537878787878785,33
no_memory,total,15.958,28.195149999999998,14.367476190476188,42
one_shot,explanation,1.5925,2.5860000000000003,1.4638461538461536,26
one_shot,filtering,1.7795,11.21425,3.1075769230769223,26
one_shot,intent_extraction,0.381,0.6326999999999998,0.3969047619047619,42
one_shot,memory_merge,0.434,0.7236999999999996,0.4635476190476191,42
one_shot,ranking,6.7425,12.312750000000001,5.648076923076924,26
one_shot,retrieval,6.1465,8.7225,5.8699615384615385,26
one_shot,total,10.6915,25.813249999999982,11.375976190476191,42
profile_only,explanation,1.46,2.7760499999999997,1.63275,28
profile_only,filtering,1.277,1.6636999999999997,1.2865714285714287,28
profile_only,intent_extraction,0.3335,0.47354999999999986,0.33666666666666667,42
profile_only,memory_merge,0.2435,0.3787,0.2601428571428572,42
profile_only,ranking,10.2265,17.89009999999999,12.8835,28
profile_only,retrieval,5.926,8.1172,5.683071428571429,28
profile_only,total,18.7795,25.28939999999999,15.425119047619049,42
