variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,0.5285,1.0782999999999991,0.5171190476190476,42
full,filtering,1.9249999999999998,2.6462,1.9733333333333332,42
full,intent_extraction,0.3015,0.5755499999999997,0.4015952380952381,42
full,memory_merge,0.4,0.7632499999999997,0.44795238095238105,42
full,ranking,7.587,12.872449999999999,7.138309523809523,42
full,retrieval,5.867,8.411150000000001,6.058428571428571,42
full,total,17.028,23.68265,17.317809523809526,42
no_context,explanation,0.6025,1.0246999999999995,0.6617380952380952,42
no_context,filtering,0.489,0.9374999999999998,0.5850952380952381,42
no_context,intent_extraction,0.3265,0.4605999999999999,0.3234047619047619,42
no_context,memory_merge,0.2885,0.5144999999999998,0.3215,42
no_context,ranking,13.6385,21.74724999999999,14.59107142857143,42
no_context,retrieval,5.356,8.1705,5.765952380952381,42
no_context,total,22.359,33.31949999999999,22.980428571428572,42
no_memory,explanation,0.544,0.9167999999999998,0.4986060606060606,33
no_memory,filtering,1.66,3.2626,1.8490000000000002,33
no_memory,intent_extraction,0.3225,0.45275,0.32078571428571434,42
no_memory,memory_merge,0.356,0.6547999999999998,0.39357142857142857,42
no_memory,ranking,8.112,12.6318,6.540242424242424,33
no_memory,retrieval,5.566,8.2602,5.690363636363637,33
no_memory,total,14.603,20.975399999999997,12.788833333333333,42
one_shot,explanation,0.488,0.968,0.4791923076923076,26
one_shot,filtering,1.7265000000000001,3.001,1.9550384615384613,26
one_shot,intent_extraction,0.318,0.4465999999999999,0.3260952380952381,42
one_shot,memory_merge,0.3655,0.6056499999999999,0.41011904761904766,42
one_shot,ranking,7.6105,10.79825,5.650076923076923,26
one_shot,retrieval,6.3965,7.72225,6.0415769230769225,26
one_shot,total,10.4695,20.97845,10.070619047619049,42
profile_only,explanation,0.483,0.8173499999999998,0.5057142857142857,28
profile_only,filtering,1.2105000000000001,1.84995,1.2972142857142859,28
profile_only,intent_extraction,0.3085,0.44139999999999996,0.30107142857142855,42
profile_only,memory_merge,0.228,0.38939999999999997,0.2520476190476191,42
profile_only,ranking,10.2105,12.320199999999998,11.058571428571428,28
profile_only,retrieval,5.913,7.75035,5.948999999999999,28
profile_only,total,17.3705,22.065099999999997,13.598095238095238,42
