scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-D-01,no_context,preference_change,medium,high,high,0.830419897363192,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,2.0,2.0,19.045,0.0,0.75,26.0,-2.0
SC-D-01,no_memory,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,2.0,2.652,0.0,0.0,0.0,-1003.0
SC-D-01,one_shot,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,2.0,0.933,0.0,0.0,0.0,-1003.0
SC-D-01,profile_only,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,17.612,1.0,1.0,22.0,-2.0
SC-D-02,full,preference_change,medium,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,29.344,1.0,1.0,31.0,-2.0
SC-D-02,no_context,preference_change,medium,high,medium,0.8687949224876583,0.8,1.6,0.8,0.2,0.1,0.0,1.0,1.0,1.0,1.0,2.0,2.0,33.451,0.0,0.75,28.0,-2.0
SC-D-02,no_memory,preference_change,medium,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,19.315,1.0,1.0,29.0,-2.0
SC-D-02,one_shot,preference_change,medium,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,18.752,1.0,1.0,29.0,-2.0
SC-D-02,profile_only,preference_change,medium,high,medium,0.8539316501572936,0.8,1.6,0.8,0.2,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,20.375,0.0,0.75,26.0,-2.0
SC-D-03,full,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,17.988,1.0,1.0,26.0,-2.0
SC-D-03,no_context,preference_change,hard,high,high,0.7227265726449517,0.6,1.8,0.6,0.6,0.1,0.4,1.0,1.0,1.0,1.0,2.0,2.0,20.631,0.0,0.75,25.0,-2.0
SC-D-03,no_memory,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,18.276,1.0,1.0,21.0,-2.0
SC-D-03,one_shot,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,27.657,1.0,1.0,21.0,-2.0
SC-D-03,profile_only,preference_change,hard,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,44.236,1.0,1.0,21.0,-2.0
SC-D-04,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,16.954,1.0,1.0,28.0,-2.0
SC-D-04,no_context,preference_change,medium,high,medium,0.6608397947263838,0.8,2.4,0.8,0.4,0.1,0.2,1.0,1.0,1.0,1.0,2.0,2.0,24.639,0.0,0.75,28.0,-2.0
SC-D-04,no_memory,preference_change,medium,high,medium,0.9030970842075382,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,17.381,1.0,1.0,28.0,-2.0
SC-D-04,one_shot,preference_change,medium,high,medium,0.9030970842075382,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,15.796,1.0,1.0,28.0,-2.0
SC-D-04,profile_only,preference_change,medium,high,medium,0.6608397947263838,0.8,2.4,0.8,0.2,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,20.347,0.0,0.75,21.0,-2.0
SC-D-05,full,preference_change,medium,high,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,17.102,1.0,1.0,20.0,-2.0
SC-D-05,no_context,preference_change,medium,high,high,0.8539316501572934,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,2.0,2.0,22.39,0.0,0.75,21.0,-2.0
SC-D-05,no_memory,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,2.0,0.85,0.0,0.0,0.0,-1003.0
SC-D-05,one_shot,preference_change,medium,high,high,,,,,,,,,,1.0,1.0,2.0,2.0,1.237,0.0,0.0,0.0,-1003.0
SC-D-05,profile_only,preference_change,medium,high,high,0.5531464700081437,0.4,1.2,0.4,0.6,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,21.064,0.0,0.75,14.0,-2.0
SC-D-06,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,16.554,1.0,1.0,28.0,-2.0
SC-D-06,no_context,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,33.887,1.0,1.0,28.0,-2.0
SC-D-06,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.96,0.0,0.0,0.0,-1003.0
SC-D-06,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.963,0.0,0.0,0.0,-1003.0
SC-D-06,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.735,0.0,0.0,0.0,-1003.0
SC-D-07,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,21.875,1.0,1.0,22.0,-2.0
SC-D-07,no_context,preference_change,medium,high,medium,0.7860137352654724,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,2.0,2.0,26.128,0.0,0.75,21.0,-2.0
SC-D-07,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,1.341,0.0,0.0,0.0,-1003.0
SC-D-07,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,1.029,0.0,0.0,0.0,-1003.0
SC-D-07,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.965,0.0,0.0,0.0,-1003.0
SC-D-08,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,17.8,1.0,1.0,28.0,-2.0
SC-D-08,no_context,preference_change,medium,high,medium,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,1.0,1.0,2.0,2.0,21.234,0.0,0.75,28.0,-2.0
SC-D-08,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,1.186,0.0,0.0,0.0,-1003.0
SC-D-08,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.995,0.0,0.0,0.0,-1003.0
SC-D-08,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.765,0.0,0.0,0.0,-1003.0
SC-D-09,full,preference_change,hard,high,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,13.609,1.0,1.0,21.0,-2.0
SC-D-09,no_context,preference_change,hard,high,medium,0.0,0.0,0.0,0.0,1.2,0.06666666666666667,0.2,1.0,1.0,1.0,1.0,2.0,2.0,30.821,0.0,0.75,23.0,-2.0
SC-D-09,no_memory,preference_change,hard,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,1.64,0.0,0.0,0.0,-1003.0
SC-D-09,one_shot,preference_change,hard,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,1.151,0.0,0.0,0.0,-1003.0
SC-D-09,profile_only,preference_change,hard,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.715,0.0,0.0,0.0,-1003.0
SC-D-10,full,preference_change,medium,high,medium,0.5449431188864663,0.25,0.75,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,12.93,1.0,1.0,22.0,-2.0
SC-D-10,no_context,preference_change,medium,high,medium,0.3438208277094997,0.2,0.6,0.2,1.4,0.26666666666666666,0.4,1.0,1.0,1.0,1.0,2.0,2.0,28.163,0.0,0.75,23.0,-2.0
SC-D-10,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.973,0.0,0.0,0.0,-1003.0
SC-D-10,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,1.845,0.0,0.0,0.0,-1003.0
SC-D-10,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,2.0,2.0,0.764,0.0,0.0,0.0,-1003.0
SC-D-11,full,preference_change,medium,high,medium,1.0,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,11.655,1.0,1.0,27.0,-3.0
SC-D-11,no_context,preference_change,medium,high,medium,0.7558869364740775,0.6,1.8,0.6,0.4,0.06666666666666667,0.0,1.0,1.0,1.0,1.0,3.0,3.0,21.849,0.0,0.75,26.0,-3.0
SC-D-11,no_memory,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,3.0,3.0,0.937,0.0,0.0,0.0,-1004.0
SC-D-11,one_shot,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,3.0,3.0,1.205,0.0,0.0,0.0,-1004.0
SC-D-11,profile_only,preference_change,medium,high,medium,,,,,,,,,,1.0,1.0,3.0,3.0,0.745,0.0,0.0,0.0,-1004.0
SC-D-12,full,preference_change,hard,high,high,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,9.344,1.0,1.0,13.0,-3.0
SC-D-12,no_context,preference_change,hard,high,high,0.8146656240744838,0.4,1.2,0.4,0.8,0.1,0.0,1.0,1.0,1.0,1.0,3.0,3.0,39.539,0.0,0.75,28.0,-3.0
SC-D-12,no_memory,preference_change,hard,high,high,,,,,,,,,,1.0,1.0,3.0,3.0,1.383,0.0,0.0,0.0,-1004.0
SC-D-12,one_shot,preference_change,hard,high,high,,,,,,,,,,1.0,1.0,3.0,3.0,0.859,0.0,0.0,0.0,-1004.0
SC-D-12,profile_only,preference_change,hard,high,high,,,,,,,,,,1.0,1.0,3.0,3.0,1.52,0.0,0.0,0.0,-1004.0
SC-E-01,full,multiple_hard,hard,none,high,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.805,1.0,1.0,13.0,-1.0
SC-E-01,no_context,multiple_hard,hard,none,high,0.8404085891102678,0.4,1.2,0.4,0.6,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.594,0.0,0.75,26.0,-1.0
SC-E-01,no_memory,multiple_hard,hard,none,high,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.428,1.0,1.0,13.0,-1.0
