variant,n_scenarios,ndcg_at_5_mean,ndcg_at_5_median,ndcg_at_5_n,precision_at_5_mean,precision_at_5_median,precision_at_5_n,mean_graded_relevance_mean,mean_graded_relevance_median,mean_graded_relevance_n,hcsr_mean,hcsr_median,hcsr_n,mean_violation_count_mean,mean_violation_count_median,mean_violation_count_n,unknown_hard_rate_mean,unknown_hard_rate_median,unknown_hard_rate_n,trace_completeness_mean,trace_completeness_median,trace_completeness_n,grounding_mean,grounding_median,grounding_n,handoff_success_mean,handoff_success_median,handoff_success_n,decision_log_completeness_mean,decision_log_completeness_median,decision_log_completeness_n,turn_count_mean,turn_count_median,turn_count_n,total_latency_ms_mean,total_latency_ms_median,total_latency_ms_n,task_success_mean,task_success_median,task_success_n
full,42,0.950875441420104,1.0,30,0.975,1.0,30,2.7383333333333337,3.0,30,1.0,1.0,30,0.0,0.0,30,0.0,0.0,30,1.0,1.0,30,1.0,1.0,35,1.0,1.0,42,1.0,1.0,42,1.3333333333333333,1.0,42,14.443468253968257,14.484166666666667,42,1.0,1.0,42
no_context,42,0.6996724590317807,0.7860137352654725,31,0.5714285714285714,0.6,35,1.6628571428571428,1.8,35,0.5714285714285714,0.6,35,0.6,0.4000000000000001,35,0.0704761904761905,0.06666666666666667,35,1.0,1.0,35,1.0,1.0,35,1.0,1.0,42,1.0,1.0,42,1.3333333333333333,1.0,42,21.13265079365079,23.339,42,0.30952380952380953,0.0,42
no_memory,42,0.9488750384561672,1.0,21,1.0,1.0,21,2.780952380952381,3.0,21,1.0,1.0,21,0.0,0.0,21,0.0,0.0,21,1.0,1.0,21,1.0,1.0,26,1.0,1.0,42,1.0,1.0,42,1.3333333333333333,1.0,42,10.84511111111111,10.669333333333334,42,0.7857142857142857,1.0,42
one_shot,42,0.9488750384561672,1.0,21,1.0,1.0,21,2.780952380952381,3.0,21,1.0,1.0,21,0.0,0.0,21,0.0,0.0,21,1.0,1.0,21,1.0,1.0,26,1.0,1.0,42,1.0,1.0,42,1.3333333333333333,1.0,42,10.47157142857143,10.544166666666666,42,0.7857142857142857,1.0,42
profile_only,42,0.5871245380089444,0.6725956711234347,24,0.5,0.6,28,1.4357142857142857,1.6000000000000003,28,0.5,0.6,28,0.8214285714285714,0.4000000000000001,28,0.03511904761904762,0.0,28,1.0,1.0,28,1.0,1.0,28,1.0,1.0,42,1.0,1.0,42,1.3333333333333333,1.0,42,14.332714285714287,19.368166666666667,42,0.3333333333333333,0.0,42
