scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,grounded_claim_count
SC-A-05,no_context,complete,easy,none,medium,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,25.755666666666666,0.0,0.75,23.0
SC-A-05,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.139,1.0,1.0,23.0
SC-A-05,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.003666666666664,1.0,1.0,23.0
SC-A-05,profile_only,complete,easy,none,medium,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,23.888,0.0,0.75,19.0
SC-A-06,full,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.971,1.0,1.0,27.0
SC-A-06,no_context,complete,medium,none,medium,0.49125969208957576,0.6,1.8,0.6,0.4000000000000001,0.10000000000000002,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,23.30333333333333,0.0,0.75,27.0
SC-A-06,no_memory,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.348333333333333,1.0,1.0,27.0
SC-A-06,one_shot,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.203666666666667,1.0,1.0,27.0
SC-A-06,profile_only,complete,medium,none,medium,0.5147714448836774,0.6,1.8,0.6,0.4000000000000001,0.20000000000000004,0.0,1.0,1.0,1.0,1.0,1.0,20.608333333333334,0.0,0.75,22.0
SC-B-01,full,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,0.8816666666666667,1.0,1.0,0.0
