experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,candidate_state_version,termination_reason,total_latency_ms,run_dir
full,SC-H-03,0,run-a31017f4d44f70f1,True,no_match,True,0,0,3,0,1,1,1,no_match,14.982,evaluation\outputs\_runs\exp-e748800507ef\full\SC-H-03\0
full,SC-D-06,0,run-e3dfcbdd915124c9,True,recommendation,False,5,30,28,0,2,1,1,recommendation,20.434,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-06\0
full,SC-D-07,0,run-bdab917de39778a9,True,recommendation,False,5,29,22,0,2,1,1,recommendation,53.395,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-07\0
full,SC-D-08,0,run-3df14a2a87ce844e,True,recommendation,False,5,30,28,0,2,1,1,recommendation,19.428,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-08\0
full,SC-D-09,0,run-a4fc806d5efc9d06,True,recommendation,False,5,5,21,0,2,1,1,recommendation,15.237,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-09\0
full,SC-D-10,0,run-1a493729cfdbab7f,True,recommendation,False,4,4,22,0,2,1,1,recommendation,13.303,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-10\0
full,SC-D-11,0,run-e423c118a61e20b7,True,recommendation,False,5,10,27,0,3,1,1,recommendation,13.94,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-11\0
full,SC-D-12,0,run-017e74bcc49b87d8,True,recommendation,False,2,2,13,0,3,1,1,recommendation,9.196,evaluation\outputs\_runs\exp-e748800507ef\full\SC-D-12\0
profile_only,SC-A-01,0,run-06b8a8b83036e4b2,True,recommendation,False,5,43,22,0,1,1,1,recommendation,20.699,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-A-01\0
profile_only,SC-A-02,0,run-ac4d47a7a61a99f5,True,recommendation,False,5,44,19,0,1,1,1,recommendation,27.039,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-A-02\0
profile_only,SC-A-03,0,run-5923fbf6a6d2d6d7,True,recommendation,False,5,43,20,0,1,1,1,recommendation,21.446,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-A-03\0
profile_only,SC-A-04,0,run-d98cddc49d68d1ec,True,recommendation,False,5,45,14,0,1,1,1,recommendation,24.042,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-A-04\0
profile_only,SC-A-05,0,run-8e7c994134359592,True,recommendation,False,5,44,19,0,1,1,1,recommendation,32.86,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-A-05\0
profile_only,SC-A-06,0,run-fce8201d9237acac,True,recommendation,False,5,43,22,0,1,1,1,recommendation,19.661,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-A-06\0
profile_only,SC-B-01,0,run-a02929f203597e1b,True,clarification,,0,0,0,0,2,1,1,repeated_slot,0.713,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-B-01\0
profile_only,SC-B-02,0,run-03ad1426e1077b05,True,clarification,,0,0,0,0,2,1,1,repeated_slot,1.442,evaluation\outputs\_runs\exp-e748800507ef\profile_only\SC-B-02\0
