variant,metric,oracle,human,delta,n_oracle,n_human
full,ndcg_at_5,0.923312133896793,0.9418261095370779,0.018513975640284897,37,37
full,precision_at_5,0.9855855855855856,0.8810810810810811,-0.10450450450450455,37,37
full,mean_graded_relevance,2.6882882882882884,2.3729729729729727,-0.31531531531531565,37,37
no_memory,ndcg_at_5,0.871449023252282,0.8670175093062631,-0.004431513946018928,29,29
no_memory,precision_at_5,0.9402298850574714,0.8298850574712645,-0.1103448275862069,29,29
no_memory,mean_graded_relevance,2.5724137931034488,2.2574712643678163,-0.31494252873563244,29,29
no_context,ndcg_at_5,0.6274894671472445,0.6945652013184347,0.06707573417119017,38,37
no_context,precision_at_5,0.5894736842105265,0.6054054054054054,0.015931721194878956,38,37
no_context,mean_graded_relevance,1.689473684210526,1.6396396396396395,-0.04983404457088647,38,37
