scope,variant,rank,feature,jobs,mean_total_score,mean_normalized_score,mean_weight,mean_contribution,contribution_share,top_driver_jobs,top_driver_share,inactive_jobs,dominant_explanation_code
variant,full,,experience_fit,503,0.7260964453280336,0.7755467196819071,0.07782927435387653,0.06066364214711713,0.08354763687034812,0,0.0,55,experience_in_range
variant,full,,industry_preference,503,0.7260964453280336,0.0,0.0,0.0,0.0,0,0.0,503,industry_not_specified
variant,full,,location_preference,503,0.7260964453280336,0.6222664015904572,0.10731193638170952,0.06998916103379728,0.09639099803357086,0,0.0,190,location_match
variant,full,,preferred_skill_match,503,0.7260964453280336,0.4648697813121278,0.11118479920477106,0.05143250298210721,0.07083425805627129,0,0.0,125,preferred_skill_coverage
variant,full,,required_skill_match,503,0.7260964453280336,0.6262379721669985,0.2779612266401602,0.17539049304174992,0.24155261214990875,234,0.46520874751491054,48,required_skill_coverage
variant,full,,role_match,503,0.7260964453280336,0.8648111332007953,0.2779612266401602,0.24001989065606458,0.3305619965507876,269,0.5347912524850894,2,role_exact
variant,full,,salary_preference,503,0.7260964453280336,0.7435387673956262,0.08085176938369802,0.07962203180914533,0.10965765267336343,0,0.0,129,salary_meets_min
variant,full,,work_mode_preference,503,0.7260964453280336,0.4602385685884692,0.06690046918489077,0.048978723658051636,0.06745484566574923,0,0.0,224,work_mode_not_specified
variant,no_context,,experience_fit,630,0.7360768603174606,0.8438095238095225,0.07852559999999996,0.06641499523809545,0.09022834274324491,0,0.0,33,experience_in_range
variant,no_context,,industry_preference,630,0.7360768603174606,0.0,0.0,0.0,0.0,0,0.0,630,industry_not_specified
variant,no_context,,location_preference,630,0.7360768603174606,0.6507936507936508,0.10908740317460273,0.07401135873015843,0.1005484110697873,0,0.0,220,location_match
variant,no_context,,preferred_skill_match,630,0.7360768603174606,0.5362357142857154,0.11217954603174551,0.05973865238095223,0.08115817192675738,0,0.0,105,preferred_skill_coverage
variant,no_context,,required_skill_match,630,0.7360768603174606,0.621426666666667,0.2804480888888899,0.17504749523809565,0.2378114361081802,258,0.4095238095238095,51,required_skill_coverage
variant,no_context,,role_match,630,0.7360768603174606,0.9023809523809524,0.2804480888888899,0.2520357746031754,0.3424041539554383,372,0.5904761904761905,0,role_exact
variant,no_context,,salary_preference,630,0.7360768603174606,0.5589603174603174,0.07321846507936523,0.059611560317460524,0.08098551052365757,0,0.0,226,salary_meets_min
variant,no_context,,work_mode_preference,630,0.7360768603174606,0.4595238095238095,0.0660934523809523,0.049217023809523766,0.06686397367293559,0,0.0,276,work_mode_not_specified
variant,no_memory,,experience_fit,391,0.7197073452685443,0.8028132992327356,0.08305476982097136,0.06756553964194366,0.09387918587482659,0,0.0,36,experience_in_range
variant,no_memory,,industry_preference,391,0.7197073452685443,0.0,0.0,0.0,0.0,0,0.0,391,industry_not_specified
variant,no_memory,,location_preference,391,0.7197073452685443,0.5396419437340153,0.09076407416879792,0.061259667519181674,0.085117468818279,0,0.0,180,location_match
variant,no_memory,,preferred_skill_match,391,0.7197073452685443,0.4620547314578006,0.11864972634271033,0.05496850639386179,0.07637619201086715,0,0.0,101,preferred_skill_coverage
variant,no_memory,,required_skill_match,391,0.7197073452685443,0.6035774936061381,0.29662344757033343,0.17769663938618963,0.24690124472730748,177,0.45268542199488493,45,required_skill_coverage
variant,no_memory,,role_match,391,0.7197073452685443,0.8695652173913043,0.29662344757033343,0.25814481841432285,0.35868026095801664,214,0.5473145780051151,0,role_exact
variant,no_memory,,salary_preference,391,0.7197073452685443,0.5712071611253198,0.06258866496163697,0.06180728388746815,0.08587835638165679,0,0.0,165,salary_meets_min
variant,no_memory,,work_mode_preference,391,0.7197073452685443,0.35294117647058826,0.05169640920716113,0.03826489002557547,0.05316729122904491,0,0.0,225,work_mode_not_specified
variant_rank,full,1.0,experience_fit,109,0.772345972477064,0.798165137614679,0.07748408256880741,0.06236306422018351,0.08074498533367502,0,0.0,4,experience_in_range
variant_rank,full,1.0,industry_preference,109,0.772345972477064,0.0,0.0,0.0,0.0,0,0.0,109,industry_not_specified
variant_rank,full,1.0,location_preference,109,0.772345972477064,0.8073394495412844,0.1071172660550459,0.08922300917431204,0.1155220747615948,0,0.0,21,location_match
variant_rank,full,1.0,preferred_skill_match,109,0.772345972477064,0.4953990825688076,0.11069166972477068,0.05589216513761471,0.07236674641852232,0,0.0,12,preferred_skill_coverage
variant_rank,full,1.0,required_skill_match,109,0.772345972477064,0.6009174311926605,0.2767284128440368,0.16825471559633037,0.2178488936204389,43,0.3944954128440367,9,required_skill_coverage
variant_rank,full,1.0,role_match,109,0.772345972477064,0.9036697247706422,0.2767284128440368,0.24883556880733967,0.32218148041774014,66,0.6055045871559633,0,role_exact
variant_rank,full,1.0,salary_preference,109,0.772345972477064,0.7798165137614679,0.08332894495412849,0.08332894495412849,0.10789069655775678,0,0.0,24,salary_meets_min
variant_rank,full,1.0,work_mode_preference,109,0.772345972477064,0.6100917431192661,0.06792193577981659,0.06444850458715602,0.08344512289027299,0,0.0,39,work_mode_match
variant_rank,full,2.0,experience_fit,103,0.7379656699029128,0.8660194174757284,0.07779393203883503,0.06773861165048546,0.09179100656456986,0,0.0,6,experience_in_range
variant_rank,full,2.0,industry_preference,103,0.7379656699029128,0.0,0.0,0.0,0.0,0,0.0,103,industry_not_specified
variant_rank,full,2.0,location_preference,103,0.7379656699029128,0.5436893203883495,0.10735168932038841,0.062046427184466055,0.08407766067577224,0,0.0,47,location_match
variant_rank,full,2.0,preferred_skill_match,103,0.7379656699029128,0.529118446601942,0.11113431067961173,0.05797636893203889,0.07856242003732544,0,0.0,22,preferred_skill_coverage
variant_rank,full,2.0,required_skill_match,103,0.7379656699029128,0.6359194174757283,0.2778350000000001,0.17834279611650483,0.2416681471645798,46,0.44660194174757284,9,required_skill_coverage
variant_rank,full,2.0,role_match,103,0.7379656699029128,0.883495145631068,0.2778350000000001,0.24456395145631088,0.33140288421341585,57,0.5533980582524272,0,role_exact
variant_rank,full,2.0,salary_preference,103,0.7379656699029128,0.7378640776699029,0.08217764077669912,0.07917493203883504,0.10728809654418117,0,0.0,27,salary_meets_min
variant_rank,full,2.0,work_mode_preference,103,0.7379656699029128,0.4563106796116505,0.06587313592233016,0.04812258252427184,0.0652097848001559,0,0.0,44,work_mode_not_specified
variant_rank,full,3.0,experience_fit,99,0.7173699696969696,0.7919191919191921,0.07818893939393948,0.062105838383838395,0.0865743493696468,0,0.0,11,experience_in_range
variant_rank,full,3.0,industry_preference,99,0.7173699696969696,0.0,0.0,0.0,0.0,0,0.0,99,industry_not_specified
variant_rank,full,3.0,location_preference,99,0.7173699696969696,0.5454545454545454,0.1077631515151516,0.062350969696969724,0.08691605772584532,0,0.0,45,location_match
variant_rank,full,3.0,preferred_skill_match,99,0.7173699696969696,0.46800707070707087,0.11169860606060616,0.05146897979797981,0.07174677219862055,0,0.0,26,preferred_skill_coverage
variant_rank,full,3.0,required_skill_match,99,0.7173699696969696,0.6346757575757578,0.2792457070707071,0.17860591919191918,0.24897323101964472,46,0.46464646464646464,12,required_skill_coverage
variant_rank,full,3.0,role_match,99,0.7173699696969696,0.8787878787878788,0.2792457070707071,0.24433114141414153,0.34059293214817943,53,0.5353535353535354,0,role_exact
variant_rank,full,3.0,salary_preference,99,0.7173699696969696,0.7272727272727273,0.07808884848484857,0.07808884848484857,0.10885435937307876,0,0.0,27,salary_meets_min
variant_rank,full,3.0,work_mode_preference,99,0.7173699696969696,0.37373737373737376,0.06576973737373742,0.04041827272727273,0.05634229816498474,0,0.0,49,work_mode_not_specified
variant_rank,full,4.0,experience_fit,96,0.7063630312499999,0.7093750000000004,0.07785875000000009,0.05593808333333333,0.07919169160699666,0,0.0,15,experience_in_range
variant_rank,full,4.0,industry_preference,96,0.7063630312499999,0.0,0.0,0.0,0.0,0,0.0,96,industry_not_specified
variant_rank,full,4.0,location_preference,96,0.7063630312499999,0.6041666666666666,0.10716846875000012,0.06822466666666671,0.09658583992700527,0,0.0,38,location_match
variant_rank,full,4.0,preferred_skill_match,96,0.7063630312499999,0.4218687500000002,0.11122690625000013,0.04594896875000001,0.06505007583520818,0,0.0,30,preferred_skill_coverage
variant_rank,full,4.0,required_skill_match,96,0.7063630312499999,0.6145760416666669,0.27806651041666675,0.1715635104166667,0.2428829126477119,44,0.4583333333333333,9,required_skill_coverage
variant_rank,full,4.0,role_match,96,0.7063630312499999,0.8541666666666666,0.27806651041666675,0.23820029166666676,0.337220779016621,52,0.5416666666666666,1,role_exact
variant_rank,full,4.0,salary_preference,96,0.7063630312499999,0.71875,0.08015881250000008,0.07693715625000007,0.10892013433071365,0,0.0,27,salary_meets_min
variant_rank,full,4.0,work_mode_preference,96,0.7063630312499999,0.4635416666666667,0.06745472916666673,0.04955035416666669,0.07014856663574394,0,0.0,41,work_mode_not_specified
variant_rank,full,5.0,experience_fit,96,0.6895818645833329,0.7020833333333335,0.07785875000000009,0.054381531250000024,0.07886160301338414,0,0.0,19,experience_in_range
variant_rank,full,5.0,industry_preference,96,0.6895818645833329,0.0,0.0,0.0,0.0,0,0.0,96,industry_not_specified
variant_rank,full,5.0,location_preference,96,0.6895818645833329,0.59375,0.10716846875000012,0.06631400000000004,0.09616552204438997,0,0.0,39,location_match
variant_rank,full,5.0,preferred_skill_match,96,0.6895818645833329,0.4010385416666668,0.11122690625000013,0.0447938229166667,0.06495794802221566,0,0.0,35,preferred_skill_coverage
variant_rank,full,5.0,required_skill_match,96,0.6895818645833329,0.647560416666667,0.27806651041666675,0.18083607291666662,0.2622401809043129,55,0.5729166666666666,9,required_skill_coverage
variant_rank,full,5.0,role_match,96,0.6895818645833329,0.796875,0.27806651041666675,0.22250864583333338,0.322671835298018,41,0.4270833333333333,1,role_exact
variant_rank,full,5.0,salary_preference,96,0.6895818645833329,0.75,0.08015881250000008,0.08015881250000008,0.11624263429322429,0,0.0,24,salary_meets_min
variant_rank,full,5.0,work_mode_preference,96,0.6895818645833329,0.3802083333333333,0.06745472916666673,0.040588979166666664,0.05886027642445586,0,0.0,51,work_mode_not_specified
variant_rank,no_context,1.0,experience_fit,126,0.7785668333333325,0.8857142857142861,0.07844900000000012,0.06996452380952384,0.0898632215168733,0,0.0,0,experience_in_range
variant_rank,no_context,1.0,industry_preference,126,0.7785668333333325,0.0,0.0,0.0,0.0,0,0.0,126,industry_not_specified
variant_rank,no_context,1.0,location_preference,126,0.7785668333333325,0.8095238095238095,0.10897797619047622,0.0912315238095239,0.11717879558127078,0,0.0,24,location_match
variant_rank,no_context,1.0,preferred_skill_match,126,0.7785668333333325,0.5674500000000002,0.11207011904761909,0.06508388095238098,0.08359446892148335,0,0.0,18,preferred_skill_coverage
variant_rank,no_context,1.0,required_skill_match,126,0.7785668333333325,0.6190476190476191,0.28017450000000016,0.17527650000000017,0.22512710854837809,51,0.40476190476190477,9,required_skill_coverage
variant_rank,no_context,1.0,role_match,126,0.7785668333333325,0.9166666666666666,0.28017450000000016,0.25524804761904774,0.32784346403023157,75,0.5952380952380952,0,role_exact
variant_rank,no_context,1.0,salary_preference,126,0.7785668333333325,0.6006666666666667,0.07400469047619056,0.06368169047619056,0.0817934796985195,0,0.0,45,salary_meets_min
variant_rank,no_context,1.0,work_mode_preference,126,0.7785668333333325,0.5476190476190477,0.06614988095238103,0.05808066666666668,0.07459946170324501,0,0.0,48,work_mode_match
variant_rank,no_context,2.0,experience_fit,126,0.7464811190476187,0.8976190476190478,0.07780521428571437,0.06973438095238102,0.09341747456566626,0,0.0,3,experience_in_range
variant_rank,no_context,2.0,industry_preference,126,0.7464811190476187,0.0,0.0,0.0,0.0,0,0.0,126,industry_not_specified
variant_rank,no_context,2.0,location_preference,126,0.7464811190476187,0.6428571428571429,0.10805828571428572,0.07220997619047627,0.09673382802046454,0,0.0,45,location_match
