variant,runs,retrieval_runs,mean_initial_pool_size,mean_pool_size,mean_retrieval_score,full_catalog_fallbacks,fallback_rate,median_retrieval_latency_ms,mean_retrieval_latency_ms,scored_runs,recall_at_pool,relevant_job_coverage,retrieval_errors,retrieval_error_rate,ranking_errors,ranking_error_rate
full,126,126,198.42857142857142,50.0,0.7081677642857143,0,0.0,6.8035,7.473214285714286,114,0.561733840606601,0.9736842105263158,3,0.023809523809523808,2,0.015873015873015872
no_context,126,126,198.42857142857142,50.0,0.7081677642857143,0,0.0,6.574999999999999,7.168468253968253,114,0.561733840606601,0.9736842105263158,3,0.023809523809523808,3,0.023809523809523808
no_memory,126,105,198.31428571428572,50.0,0.706873492,0,0.0,6.791,7.749438095238095,93,0.564654248707504,0.967741935483871,3,0.02857142857142857,3,0.02857142857142857
