variant,no_match_returned,no_match_expected,true_no_match,precision,recall,f1
full,17,15,15,0.8823529411764706,1.0,0.9375
no_context,0,15,0,,0.0,
no_memory,18,15,15,0.8333333333333334,1.0,0.9090909090909091
