variant,component,median_ms,p95_ms,mean_ms,n
full,explanation,0.553,1.0005499999999992,0.5535952380952381,42
full,filtering,1.9275,2.8558499999999998,2.0546666666666664,42
full,intent_extraction,0.3315,0.5926499999999999,0.43849999999999995,42
full,memory_merge,0.447,0.8004999999999999,0.5030714285714286,42
full,ranking,7.8945,15.473249999999993,7.631095238095237,42
full,retrieval,5.891500000000001,8.7114,6.229404761904762,42
full,total,17.8285,27.84059999999998,18.25692857142857,42
no_context,explanation,0.558,1.3014499999999998,0.6954285714285715,42
no_context,filtering,0.482,0.8325499999999999,0.5620476190476191,42
no_context,intent_extraction,0.3345,0.49595,0.35507142857142854,42
no_context,memory_merge,0.2945,0.5777499999999999,0.3466666666666667,42
no_context,ranking,14.387,17.309499999999996,15.179857142857145,42
no_context,retrieval,5.755,10.266849999999994,6.24745238095238,42
no_context,total,23.4685,29.11265,24.10509523809524,42
no_memory,explanation,0.472,1.0565999999999995,0.5385454545454545,33
no_memory,filtering,1.879,2.944,1.9103030303030304,33
no_memory,intent_extraction,0.332,0.6297999999999999,0.38171428571428573,42
no_memory,memory_merge,0.384,0.6950999999999998,0.42761904761904757,42
no_memory,ranking,9.372,13.283199999999997,7.360696969696969,33
no_memory,retrieval,6.093,10.211599999999999,7.246484848484848,33
no_memory,total,16.898,25.822099999999995,14.901809523809526,42
one_shot,explanation,0.5135000000000001,1.2040000000000002,0.5712307692307692,26
one_shot,filtering,1.771,3.38025,2.100769230769231,26
one_shot,intent_extraction,0.3185,0.50995,0.34576190476190477,42
one_shot,memory_merge,0.371,0.5577,0.4011904761904762,42
one_shot,ranking,7.5809999999999995,13.94225,6.394923076923077,26
one_shot,retrieval,6.149,8.1655,6.177192307692309,26
one_shot,total,11.0775,23.855749999999993,10.81045238095238,42
profile_only,explanation,0.493,0.8077499999999999,0.5285714285714286,28
profile_only,filtering,1.2645,2.25935,1.415285714285714,28
profile_only,intent_extraction,0.315,0.5695999999999999,0.3410238095238095,42
profile_only,memory_merge,0.237,0.42569999999999986,0.2716904761904762,42
profile_only,ranking,10.514,14.5985,12.280857142857144,28
profile_only,retrieval,6.6265,9.7317,6.528357142857142,28
profile_only,total,17.8575,28.024249999999984,15.013142857142858,42
