scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-A-04,one_shot,complete,medium,none,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.121,1.0,1.0,24.0,-1.0
SC-A-04,profile_only,complete,medium,none,medium,0.5531464700081437,0.4,1.2,0.4,0.6,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.564,0.0,0.75,14.0,-1.0
SC-A-05,full,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.685,1.0,1.0,23.0,-1.0
SC-A-05,no_context,complete,easy,none,medium,0.6608397947263838,0.8,2.4,0.8,0.4,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,28.137,0.0,0.75,23.0,-1.0
SC-A-05,no_memory,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.664,1.0,1.0,23.0,-1.0
SC-A-05,one_shot,complete,easy,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.144,1.0,1.0,23.0,-1.0
SC-A-05,profile_only,complete,easy,none,medium,0.6608397947263838,0.8,2.4,0.8,0.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.745,0.0,0.75,19.0,-1.0
SC-A-06,full,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.532,1.0,1.0,27.0,-1.0
SC-A-06,no_context,complete,medium,none,medium,0.49125969208957576,0.6,1.8,0.6,0.4,0.1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,20.2,0.0,0.75,27.0,-1.0
SC-A-06,no_memory,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.044,1.0,1.0,27.0,-1.0
SC-A-06,one_shot,complete,medium,none,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.274,1.0,1.0,27.0,-1.0
SC-A-06,profile_only,complete,medium,none,medium,0.5147714448836774,0.6,1.8,0.6,0.4,0.2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.705,0.0,0.75,22.0,-1.0
SC-B-01,full,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,23.203,1.0,1.0,31.0,-2.0
SC-B-01,no_context,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,24.568,1.0,1.0,31.0,-2.0
SC-B-01,no_memory,clarification,medium,none,low,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,16.395,1.0,1.0,23.0,-2.0
SC-B-01,one_shot,clarification,medium,none,low,,,,,,,,,,1.0,1.0,1.0,1.0,1.434,0.0,0.25,0.0,-1001.0
SC-B-01,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,2.0,2.0,0.803,0.0,0.5,0.0,-1002.0
SC-B-02,full,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,17.779,1.0,1.0,21.0,-2.0
SC-B-02,no_context,clarification,medium,none,low,0.529634717214042,0.6,1.8,0.6,0.4,0.0,0.4,1.0,1.0,1.0,1.0,2.0,2.0,19.587,0.0,0.75,22.0,-2.0
SC-B-02,no_memory,clarification,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,16.243,1.0,1.0,16.0,-2.0
