experiment_id,run_id,claim_id,annotation_signature,delivery_status,rater_1,rater_2,validator,adjudicated,notes
exp-40a9cd647575,run-59a9fcc2972db0b9,claim-f91ddb1d021b5b39,sig-04fa0a933b8d4802,delivered,1,1,1,,
exp-40a9cd647575,run-243c9483fa7e0adf,claim-1c9e45d4f7d5d3e9,sig-053cda707a694785,delivered,1,1,1,,
exp-40a9cd647575,run-5d2e6e2b79282ca0,claim-1c9e45d4f7d5d3e9,sig-053cda707a694785,delivered,1,1,1,,
exp-40a9cd647575,run-9332cdf03b96bf12,claim-1c9e45d4f7d5d3e9,sig-053cda707a694785,delivered,1,1,1,,
exp-40a9cd647575,run-afceedbf298a91a6,claim-1c9e45d4f7d5d3e9,sig-053cda707a694785,delivered,1,1,1,,
exp-40a9cd647575,run-243c9483fa7e0adf,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-4292659382907599,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-5d2e6e2b79282ca0,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-5dff6533050fc9bf,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-8b3f8acda4a32c84,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-9332cdf03b96bf12,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-ace8bf7a52ee7605,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-afceedbf298a91a6,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-affd2b9b1ab246dd,claim-9afeb44b4732d9a4,sig-057138bdae9f5f06,delivered,1,1,1,,
exp-40a9cd647575,run-0bdbd7e3ae24c145,claim-ea64ecbca01fc278,sig-0630fdba8fbaf108,delivered,1,1,1,,
exp-40a9cd647575,run-25b1a4c18ff8cdfe,claim-ea64ecbca01fc278,sig-0630fdba8fbaf108,delivered,1,1,1,,
exp-40a9cd647575,run-293806b558ff1d6a,claim-ea64ecbca01fc278,sig-0630fdba8fbaf108,delivered,1,1,1,,
exp-40a9cd647575,run-62b9c429b0e1fee1,claim-ea64ecbca01fc278,sig-0630fdba8fbaf108,delivered,1,1,1,,
exp-40a9cd647575,run-8fe7e2a70540fa13,claim-ea64ecbca01fc278,sig-0630fdba8fbaf108,delivered,1,1,1,,
exp-40a9cd647575,run-b0c15ff5128e34a7,claim-ea64ecbca01fc278,sig-0630fdba8fbaf108,delivered,1,1,1,,
exp-40a9cd647575,run-b2960756b22de028,claim-ea64ecbca01fc278,sig-0630fdba8fbaf108,delivered,1,1,1,,
exp-40a9cd647575,run-44edd4d662236ae1,claim-cc93a9317a2f39a1,sig-065870dfe1f4193f,delivered,1,1,1,,
exp-40a9cd647575,run-dab5d4df9ae936a4,claim-cc93a9317a2f39a1,sig-065870dfe1f4193f,delivered,1,1,1,,
exp-40a9cd647575,run-2e4189c28ef33830,claim-ffea572f1dec63c9,sig-06eb815b3742cb49,delivered,0,0,1,,
exp-40a9cd647575,run-81e796b5314caa57,claim-ffea572f1dec63c9,sig-06eb815b3742cb49,delivered,0,0,1,,
exp-40a9cd647575,run-8ae17181d03fbff5,claim-ffea572f1dec63c9,sig-06eb815b3742cb49,delivered,0,0,1,,
exp-40a9cd647575,run-d90c8a92fe059b99,claim-7a07bebb6dce7fca,sig-0748080af30cdb05,delivered,1,1,1,,
exp-40a9cd647575,run-f0318a443bd4e1ea,claim-7a07bebb6dce7fca,sig-0748080af30cdb05,delivered,1,1,1,,
