metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs
ndcg_at_5,full,profile_only,23,0.9381054431904398,0.584827979425735,0.3532774637647049,0.22208797171218314,0.490356370929749,0.0004339135941093194,1.0522711923335948,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,profile_only,42,0.9761904761904762,0.16666666666666666,0.8095238095238095,0.6904761904761905,0.9285714285714286,1.1641532182693481e-10,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,0.9761904761904762,0.16666666666666666,0.8095238095238095,"{'full_only': 34, 'other_only': 0, 'n_discordant': 34, 'p_value': 1.1641532182693481e-10}",34.0
hcsr,full,profile_only,23,0.9739130434782608,0.5826086956521739,0.391304347826087,0.2434782608695652,0.5478260869565217,0.00039840457030324846,0.9956292717395834,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,one_shot,21,0.9322107234942911,0.9174064768025298,0.0148042466917614,0.0,0.03979831551373839,0.17971249487899976,0.29438879314073074,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,one_shot,42,0.9761904761904762,0.5952380952380952,0.38095238095238093,0.23809523809523808,0.5238095238095238,3.0517578125e-05,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,0.9761904761904762,0.5952380952380952,0.38095238095238093,"{'full_only': 16, 'other_only': 0, 'n_discordant': 16, 'p_value': 3.0517578125e-05}",16.0
hcsr,full,one_shot,21,0.9714285714285713,0.9619047619047618,0.009523809523809525,0.0,0.028571428571428574,0.31731050786291415,0.21821789023599236,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_memory,28,0.9440631315556106,0.9380548576018973,0.006008273953713254,-0.011823914774164038,0.026387918214144452,0.5929800980174267,0.11436501857724186,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_memory,42,0.9761904761904762,0.7619047619047619,0.21428571428571427,0.09523809523809523,0.3333333333333333,0.00390625,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,0.9761904761904762,0.7619047619047619,0.21428571428571427,"{'full_only': 9, 'other_only': 0, 'n_discordant': 9, 'p_value': 0.00390625}",9.0
hcsr,full,no_memory,28,0.9785714285714285,0.9714285714285714,0.0071428571428571435,0.0,0.021428571428571432,0.31731050786291415,0.1889822365046136,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_context,37,0.9114730966608259,0.7384888644562306,0.1729842322045955,0.11223507694327464,0.24042613219789097,2.3479214438188723e-05,0.8511922794352497,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_context,42,0.9761904761904762,0.16666666666666666,0.8095238095238095,0.6904761904761905,0.9285714285714286,1.1641532182693481e-10,1.0,rank_biserial,scenario_binary_majority_vote,42.0,84.0,1.0,42.0,0.9761904761904762,0.16666666666666666,0.8095238095238095,"{'full_only': 34, 'other_only': 0, 'n_discordant': 34, 'p_value': 1.1641532182693481e-10}",34.0
hcsr,full,no_context,37,0.9837837837837837,0.7081081081081082,0.27567567567567564,0.2054054054054054,0.35135135135135126,1.6504660549359354e-06,1.2369518994827728,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
