experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,legacy_rule_reparse_turns,candidate_state_version,termination_reason,total_latency_ms,run_dir
full,SC-G-02,0,run-4268ecb77c92f8db,True,recommendation,False,5,41,9,7,1,1,0,1,recommendation,9551.874,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-G-02\0
full,SC-H-01,0,run-117157d4dc9c037b,True,no_match,True,0,0,4,0,1,1,0,1,no_match,26992.751,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-H-01\0
full,SC-H-02,0,run-30993cac869a3a44,True,no_match,True,0,0,4,0,1,1,0,1,no_match,224647.427,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-H-02\0
full,SC-H-03,0,run-4ea686e57ccdd6d2,True,no_match,True,0,0,4,0,1,1,0,1,no_match,22216.919,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-H-03\0
full,SC-D-06,0,run-2beccb6bb0a1b324,True,recommendation,False,5,28,22,6,2,1,0,1,recommendation,23774.153,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-06\0
full,SC-D-07,0,run-377341cb84da3195,True,recommendation,False,2,2,6,3,2,1,0,1,recommendation,11678.34,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-07\0
full,SC-D-08,0,run-6cee27de14259a73,True,recommendation,False,5,28,22,6,2,1,0,1,recommendation,57658.693,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-08\0
full,SC-D-09,0,run-304e837b9db6bba5,True,recommendation,False,5,24,15,9,2,1,0,1,recommendation,21827.663,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-09\0
full,SC-D-10,0,run-d2554a3cfbcbb37e,True,recommendation,False,5,27,18,5,2,1,0,1,recommendation,52322.078,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-10\0
full,SC-D-11,0,run-f8c43b4e17d780f8,True,recommendation,False,5,28,10,15,3,1,0,1,recommendation,47535.419,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-11\0
full,SC-D-12,0,run-7a871803ef414e8f,True,recommendation,False,1,1,4,4,3,1,0,1,recommendation,22713.865,artifacts\latency_serial\runs\exp-e63f05ad75bb\full\SC-D-12\0
