metric,base,other,n_pairs,base_mean,other_mean,delta,ci_low,ci_high,p_value,effect_size,effect_type,estimand,scenario_count,total_run_count,repeats_per_scenario,valid_pairs,base_repeat_mean,other_repeat_mean,repeat_mean_delta,mcnemar,discordant_pairs
ndcg_at_5,full,no_memory,30,0.9088079076532863,0.8890949867562514,0.019712920897034913,-0.006280403461785825,0.053819554575699265,0.22491588401596185,0.23179423937207824,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_memory,42,0.8809523809523809,0.7380952380952381,0.14285714285714285,0.047619047619047616,0.2619047619047619,0.03125,1.0,rank_biserial,scenario_binary_majority_vote,42.0,252.0,3.0,42.0,0.8888888888888887,0.7380952380952381,0.1507936507936508,"{'full_only': 6, 'other_only': 0, 'n_discordant': 6, 'p_value': 0.03125}",6.0
hcsr,full,no_memory,30,0.98,0.9711111111111111,0.008888888888888894,0.0,0.024444444444444456,0.17971249487899976,0.2333668654644735,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
ndcg_at_5,full,no_context,37,0.9145042961482641,0.7201728119200472,0.19433148422821686,0.13756493446894685,0.2600304586584905,4.19523178231624e-06,1.0080828685877075,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
task_success,full,no_context,42,0.8809523809523809,0.16666666666666666,0.7142857142857143,0.5714285714285714,0.8571428571428571,1.862645149230957e-09,1.0,rank_biserial,scenario_binary_majority_vote,42.0,252.0,3.0,42.0,0.8888888888888887,0.16666666666666666,0.7222222222222223,"{'full_only': 30, 'other_only': 0, 'n_discordant': 30, 'p_value': 1.862645149230957e-09}",30.0
hcsr,full,no_context,38,0.9578947368421052,0.6947368421052633,0.26315789473684204,0.19473684210526312,0.3368421052631578,2.5321103261982335e-06,1.152700106792124,cohens_dz,scenario_mean_over_repeats,,,,,,,,,
