scenario_type,variant,ndcg_at_5,hcsr,task_success,grounding,response_turns,clarification_efficiency
ambiguous_role,full,0.48971036135272217,1.0,0.0,0.677801724137931,1.0,-1000001.0
clarification,full,0.8849648438634095,1.0,1.0,0.8276847290640393,2.0,-2.0
complete,full,0.9009737759446256,1.0,1.0,0.6775506096158269,1.0,-1.0
multiple_hard,full,0.9142741164795805,1.0,1.0,0.8005494505494506,1.0,-1.0
no_match,full,,,1.0,1.0,1.0,-1.0
preference_change,full,0.7824156142093254,1.0,1.0,0.6746100980340111,2.1666666666666665,-2.1666666666666665
profile_dialogue_conflict,full,0.9590543575154742,1.0,1.0,0.6891605694674748,1.0,-1.0
soft_tradeoff,full,1.0,1.0,1.0,0.9456521739130435,1.0,-1.0
