scope,variant,rank,feature,jobs,mean_total_score,mean_normalized_score,mean_weight,mean_contribution,contribution_share,top_driver_jobs,top_driver_share,inactive_jobs,dominant_explanation_code
variant,full,,experience_fit,156,0.7330600256410248,0.7737179487179493,0.07814653846153859,0.06079427564102568,0.08293219315548421,0,0.0,17,experience_in_range
variant,full,,industry_preference,156,0.7330600256410248,0.0,0.0,0.0,0.0,0,0.0,156,industry_not_specified
variant,full,,location_preference,156,0.7330600256410248,0.6282051282051282,0.10747553205128203,0.0711392756410257,0.09704427080008614,0,0.0,58,location_match
variant,full,,preferred_skill_match,156,0.7330600256410248,0.434820512820513,0.11163803205128205,0.04829313461538465,0.06587882700759011,0,0.0,42,preferred_skill_coverage
variant,full,,required_skill_match,156,0.7330600256410248,0.6623884615384613,0.27909430128205137,0.18564830769230742,0.253251167979003,81,0.5192307692307693,9,required_skill_coverage
variant,full,,role_match,156,0.7330600256410248,0.8557692307692307,0.27909430128205137,0.238590826923077,0.32547242869291787,75,0.4807692307692308,0,role_exact
variant,full,,salary_preference,156,0.7330600256410248,0.7307692307692307,0.07903650641025638,0.0783756538461538,0.10691573828162046,0,0.0,42,salary_meets_min
variant,full,,work_mode_preference,156,0.7330600256410248,0.47115384615384615,0.06551546794871806,0.05021855128205133,0.06850537408329922,0,0.0,69,work_mode_match
variant_rank,full,1.0,experience_fit,37,0.7729398918918919,0.8108108108108107,0.07738824324324324,0.06326454054054055,0.08184923718413684,0,0.0,1,experience_in_range
variant_rank,full,1.0,industry_preference,37,0.7729398918918919,0.0,0.0,0.0,0.0,0,0.0,37,industry_not_specified
variant_rank,full,1.0,location_preference,37,0.7729398918918919,0.7837837837837838,0.1070447567567567,0.08657986486486484,0.11201370995737717,0,0.0,8,location_match
variant_rank,full,1.0,preferred_skill_match,37,0.7729398918918919,0.4999864864864864,0.1105547567567567,0.05633162162162165,0.07287969247355204,0,0.0,4,preferred_skill_coverage
variant_rank,full,1.0,required_skill_match,37,0.7729398918918919,0.6081081081081081,0.27638613513513516,0.169866918918919,0.21976730752393048,15,0.40540540540540543,3,required_skill_coverage
variant_rank,full,1.0,role_match,37,0.7729398918918919,0.9054054054054054,0.27638613513513516,0.24899586486486486,0.3221413042292439,22,0.5945945945945946,0,role_exact
variant_rank,full,1.0,salary_preference,37,0.7729398918918919,0.7837837837837838,0.08368505405405402,0.08368505405405402,0.1082685147084616,0,0.0,8,salary_meets_min
variant_rank,full,1.0,work_mode_preference,37,0.7729398918918919,0.6081081081081081,0.06855564864864866,0.06421602702702703,0.08308023392329798,0,0.0,13,work_mode_match
variant_rank,full,2.0,experience_fit,33,0.7419415151515151,0.8212121212121212,0.07827272727272727,0.06476715151515153,0.0872941467656317,0,0.0,2,experience_in_range
variant_rank,full,2.0,industry_preference,33,0.7419415151515151,0.0,0.0,0.0,0.0,0,0.0,33,industry_not_specified
variant_rank,full,2.0,location_preference,33,0.7419415151515151,0.5454545454545454,0.10788284848484843,0.06306915151515152,0.08500555667419675,0,0.0,15,location_match
